mso,rtr,value
1,1,1
1,2,1
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,1
1,12,1
1,13,0
1,14,0
2,1,1
2,2,1
2,3,1
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,1
2,10,1
2,11,0
2,12,0
2,13,1
2,14,1
3,1,1
3,2,1
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,1
3,10,1
3,11,1
3,12,1
3,13,0
3,14,0
4,1,1
4,2,1
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,1
4,12,1
4,13,0
4,14,0
5,1,1
5,2,1
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
6,1,1
6,2,1
6,3,1
6,4,1
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,1
6,12,1
6,13,1
6,14,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,1
7,12,1
7,13,1
7,14,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,1
8,12,1
8,13,1
8,14,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,0
9,6,0
9,7,0
9,8,0
9,9,1
9,10,1
9,11,0
9,12,0
9,13,0
9,14,0
10,1,1
10,2,1
10,3,1
10,4,1
10,5,0
10,6,0
10,7,0
10,8,0
10,9,1
10,10,1
10,11,0
10,12,0
10,13,1
10,14,1
11,1,1
11,2,1
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,1
11,10,1
11,11,1
11,12,1
11,13,0
11,14,0
12,1,1
12,2,1
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,1
12,10,1
12,11,1
12,12,1
12,13,0
12,14,0
13,1,1
13,2,1
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,1
13,12,1
13,13,0
13,14,0
14,1,1
14,2,1
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
15,1,1
15,2,1
15,3,1
15,4,1
15,5,0
15,6,0
15,7,0
15,8,1
15,9,1
15,10,0
15,11,1
15,12,1
15,13,1
15,14,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,1
16,12,1
16,13,1
16,14,1
17,1,1
17,2,1
17,3,1
17,4,1
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,1
17,12,1
17,13,1
17,14,1
18,1,2
18,2,2
18,3,2
18,4,2
18,5,0
18,6,0
18,7,0
18,8,0
18,9,1
18,10,1
18,11,0
18,12,0
18,13,0
18,14,0
19,1,1
19,2,1
19,3,1
19,4,1
19,5,0
19,6,0
19,7,0
19,8,0
19,9,1
19,10,1
19,11,0
19,12,0
19,13,1
19,14,1
20,1,1
20,2,1
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,1
20,10,1
20,11,1
20,12,1
20,13,0
20,14,0
21,1,1
21,2,1
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,1
21,12,1
21,13,0
21,14,0
22,1,1
22,2,1
22,3,0
22,4,0
